S09-J027-R0318-LU-S01	S09-J027-R0318-LU	1	配偶的父母乃富翁	SPOUSE+PARENT	ROMANTIC_RELATION	MARRIAGE_RELATION	PARENT_DOCUMENT+HEALTH_BODY	MARRIAGE_RELATION_CHAIN+PARENT_DOCUMENT_CHAIN+HEALTH_RISK_CHAIN	NONE	ABSENT	ABSENT	SINGLE_144_SOURCE_LIMIT+TOPIC_AXIS_REQUIRED+DUPLICATE_SYMBOL_MERGE+DYNAMIC_LAYER_CONDITIONAL+RELATION_STATUS_LIMIT+FORMAL_ENDPOINT_LIMIT+HEALTH_ENDPOINT_LIMIT+PERSON_TAIJI_REQUIRED	ZERO_SINGLE_144+ZERO_DUPLICATE_STACKING+ZERO_PEACH_ENDPOINT+ZERO_FORMALIZATION_ENDPOINT+ZERO_HEALTH_ENDPOINT	ACTIVE
S09-J027-R0318-LU-S02	S09-J027-R0318-LU	2	配偶暗中有情人	SPOUSE	ROMANTIC_RELATION	MARRIAGE_RELATION	HEALTH_BODY	MARRIAGE_RELATION_CHAIN+HEALTH_RISK_CHAIN	NONE	ABSENT	ABSENT	SINGLE_144_SOURCE_LIMIT+TOPIC_AXIS_REQUIRED+DUPLICATE_SYMBOL_MERGE+DYNAMIC_LAYER_CONDITIONAL+RELATION_STATUS_LIMIT+HEALTH_ENDPOINT_LIMIT+PERSON_TAIJI_REQUIRED	ZERO_SINGLE_144+ZERO_DUPLICATE_STACKING+ZERO_PEACH_ENDPOINT+ZERO_HEALTH_ENDPOINT	ACTIVE
S09-J027-R0318-QUAN-S01	S09-J027-R0318-QUAN	1	配偶容易与人私奔之象	SPOUSE	ROMANTIC_RELATION	MARRIAGE_RELATION	HEALTH_BODY	MARRIAGE_RELATION_CHAIN+HEALTH_RISK_CHAIN	NONE	ABSENT	PRESENT	SINGLE_144_SOURCE_LIMIT+TOPIC_AXIS_REQUIRED+DUPLICATE_SYMBOL_MERGE+DYNAMIC_LAYER_CONDITIONAL+RELATION_STATUS_LIMIT+HEALTH_ENDPOINT_LIMIT+PERSON_TAIJI_REQUIRED	ZERO_SINGLE_144+ZERO_DUPLICATE_STACKING+ZERO_PEACH_ENDPOINT+ZERO_HEALTH_ENDPOINT	ACTIVE
S09-J027-R0318-QUAN-S02	S09-J027-R0318-QUAN	2	或暗中与他人有性关系	CONTEXT_SUBJECT	SEMANTIC_ACTION_REQUIRES_S17	HEALTH_BODY	NONE	HEALTH_RISK_CHAIN	NONE	ABSENT	ABSENT	SINGLE_144_SOURCE_LIMIT+TOPIC_AXIS_REQUIRED+DUPLICATE_SYMBOL_MERGE+DYNAMIC_LAYER_CONDITIONAL+HEALTH_ENDPOINT_LIMIT	ZERO_SINGLE_144+ZERO_DUPLICATE_STACKING+ZERO_HEALTH_ENDPOINT	ACTIVE
S09-J027-R0318-KE-S01	S09-J027-R0318-KE	1	配偶多朋友的帮助	SPOUSE+FRIEND_TEAM	RELATION_SUPPORT+ROMANTIC_RELATION+GROUP_ACTION	MARRIAGE_RELATION	FRIEND_GROUP+HEALTH_BODY	MARRIAGE_RELATION_CHAIN+FRIEND_PARTNERSHIP_CHAIN+HEALTH_RISK_CHAIN	NONE	ABSENT	PRESENT	SINGLE_144_SOURCE_LIMIT+TOPIC_AXIS_REQUIRED+DUPLICATE_SYMBOL_MERGE+DYNAMIC_LAYER_CONDITIONAL+RELATION_STATUS_LIMIT+GROUP_RISK_LIMIT+HEALTH_ENDPOINT_LIMIT+PERSON_TAIJI_REQUIRED	ZERO_SINGLE_144+ZERO_DUPLICATE_STACKING+ZERO_PEACH_ENDPOINT+ZERO_GROUP_ENDPOINT+ZERO_HEALTH_ENDPOINT	ACTIVE
S09-J027-R0318-KE-S02	S09-J027-R0318-KE	2	有灾则必帮	CONTEXT_SUBJECT	SEMANTIC_ACTION_REQUIRES_S17	HEALTH_BODY	NONE	HEALTH_RISK_CHAIN	NONE	ABSENT	PRESENT	SINGLE_144_SOURCE_LIMIT+TOPIC_AXIS_REQUIRED+DUPLICATE_SYMBOL_MERGE+DYNAMIC_LAYER_CONDITIONAL+HEALTH_ENDPOINT_LIMIT	ZERO_SINGLE_144+ZERO_DUPLICATE_STACKING+ZERO_HEALTH_ENDPOINT	ACTIVE
S09-J027-R0318-JI-S01	S09-J027-R0318-JI	1	容易因身体的需求而主动追求桃花	CONTEXT_SUBJECT	ROMANTIC_RELATION+HEALTH_STATE	HEALTH_BODY	MARRIAGE_RELATION	HEALTH_RISK_CHAIN+MARRIAGE_RELATION_CHAIN	NONE	ABSENT	PRESENT	SINGLE_144_SOURCE_LIMIT+TOPIC_AXIS_REQUIRED+DUPLICATE_SYMBOL_MERGE+DYNAMIC_LAYER_CONDITIONAL+HEALTH_ENDPOINT_LIMIT+RELATION_STATUS_LIMIT	ZERO_SINGLE_144+ZERO_DUPLICATE_STACKING+ZERO_HEALTH_ENDPOINT+ZERO_PEACH_ENDPOINT	ACTIVE
S09-J027-R0319-LU-S01	S09-J027-R0319-LU	1	配偶在外有外遇	SPOUSE	ROMANTIC_RELATION+MIGRATION_ACTION+RELATION_CONFLICT	MARRIAGE_RELATION	MIGRATION_OUTSIDE	MARRIAGE_RELATION_CHAIN+MIGRATION_OUTSIDE_CHAIN	外遇	ABSENT	ABSENT	SINGLE_144_SOURCE_LIMIT+TOPIC_AXIS_REQUIRED+DUPLICATE_SYMBOL_MERGE+DYNAMIC_LAYER_CONDITIONAL+RELATION_STATUS_LIMIT+MIGRATION_ENDPOINT_LIMIT+PERSON_TAIJI_REQUIRED+HIGH_THRESHOLD_REQUIRES_S17	ZERO_SINGLE_144+ZERO_DUPLICATE_STACKING+ZERO_PEACH_ENDPOINT+ZERO_MIGRATION_ENDPOINT+ZERO_RESULTIZATION	ACTIVE
S09-J027-R0319-LU-S02	S09-J027-R0319-LU	2	常滞留在外寻乐	CONTEXT_SUBJECT	MIGRATION_ACTION	MIGRATION_OUTSIDE	NONE	MIGRATION_OUTSIDE_CHAIN	NONE	ABSENT	PRESENT	SINGLE_144_SOURCE_LIMIT+TOPIC_AXIS_REQUIRED+DUPLICATE_SYMBOL_MERGE+DYNAMIC_LAYER_CONDITIONAL+MIGRATION_ENDPOINT_LIMIT	ZERO_SINGLE_144+ZERO_DUPLICATE_STACKING+ZERO_MIGRATION_ENDPOINT	ACTIVE
S09-J027-R0319-QUAN-S01	S09-J027-R0319-QUAN	1	配偶出外工作努力	SPOUSE	ROMANTIC_RELATION+CAREER_ACTION+MIGRATION_ACTION	MARRIAGE_RELATION	MIGRATION_OUTSIDE+CAREER_WORK	MARRIAGE_RELATION_CHAIN+MIGRATION_OUTSIDE_CHAIN+CAREER_CHAIN	NONE	ABSENT	ABSENT	SINGLE_144_SOURCE_LIMIT+TOPIC_AXIS_REQUIRED+DUPLICATE_SYMBOL_MERGE+DYNAMIC_LAYER_CONDITIONAL+RELATION_STATUS_LIMIT+MIGRATION_ENDPOINT_LIMIT+CAREER_ENDPOINT_LIMIT+PERSON_TAIJI_REQUIRED	ZERO_SINGLE_144+ZERO_DUPLICATE_STACKING+ZERO_PEACH_ENDPOINT+ZERO_MIGRATION_ENDPOINT+ZERO_PROMOTION_ENDPOINT	ACTIVE
S09-J027-R0319-QUAN-S02	S09-J027-R0319-QUAN	2	表现才华、技术、能力	CONTEXT_SUBJECT	CAREER_ACTION+BEHAVIOR_TRAIT	SELF_BEHAVIOR	CAREER_WORK+MIGRATION_OUTSIDE	SELF_STATE_CHAIN+CAREER_CHAIN+MIGRATION_OUTSIDE_CHAIN	NONE	ABSENT	ABSENT	SINGLE_144_SOURCE_LIMIT+TOPIC_AXIS_REQUIRED+DUPLICATE_SYMBOL_MERGE+DYNAMIC_LAYER_CONDITIONAL+PERSONALITY_ONLY_LIMIT+CAREER_ENDPOINT_LIMIT+MIGRATION_ENDPOINT_LIMIT	ZERO_SINGLE_144+ZERO_DUPLICATE_STACKING+ZERO_RESULTIZATION+ZERO_PROMOTION_ENDPOINT+ZERO_MIGRATION_ENDPOINT	ACTIVE
